,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_beta,0.001,0.01,-0.017,0.021,0.0,0.0,5687.0,1879.0,5681.0,2662.0,1.0
"beta_bdnf[0,0]",0.096,0.099,-0.102,0.27,0.002,0.001,2913.0,2689.0,2922.0,3010.0,1.0
"beta_bdnf[1,0]",0.144,0.113,-0.055,0.363,0.002,0.002,2874.0,1955.0,3028.0,2523.0,1.0
"beta_bdnf[2,0]",0.711,0.156,0.426,1.008,0.005,0.003,1081.0,1067.0,1104.0,1702.0,1.0
"beta_bdnf[3,0]",-0.481,0.413,-1.282,0.286,0.012,0.008,1258.0,1210.0,1297.0,1697.0,1.0
"beta_bdnf[4,0]",0.232,0.414,-0.519,1.021,0.012,0.009,1188.0,987.0,1275.0,1635.0,1.0
"beta_bdnf[5,0]",0.165,0.384,-0.542,0.9,0.012,0.008,1044.0,1044.0,1056.0,1598.0,1.0
"beta_syn[0,0]",0.523,0.218,0.151,0.959,0.006,0.004,1382.0,1295.0,1438.0,1919.0,1.0
"beta_syn[1,0]",0.796,0.31,0.228,1.342,0.009,0.007,1075.0,1075.0,1083.0,2126.0,1.0
"beta_nnf[0,0]",0.571,0.519,-0.295,1.614,0.016,0.012,1111.0,947.0,1275.0,1367.0,1.0
"beta_nnf[1,0]",0.073,0.489,-0.844,1.009,0.013,0.009,1477.0,1477.0,1539.0,1582.0,1.0
"beta_nnf[2,0]",-0.064,0.462,-0.982,0.784,0.014,0.01,1029.0,1029.0,1100.0,1318.0,1.0
"Xmu_bdnf[0,0]",0.002,0.105,-0.202,0.192,0.002,0.002,4469.0,1728.0,4484.0,2817.0,1.0
"Xmu_bdnf[0,1]",0.007,0.105,-0.186,0.204,0.002,0.002,4479.0,2056.0,4502.0,2729.0,1.0
"Xmu_bdnf[0,2]",0.868,0.035,0.805,0.935,0.001,0.0,4153.0,4153.0,4189.0,2308.0,1.0
"Xmu_bdnf[0,3]",0.13,0.044,0.045,0.207,0.001,0.001,2367.0,2258.0,2359.0,2531.0,1.0
"Xmu_bdnf[0,4]",0.077,0.034,0.017,0.14,0.001,0.0,3472.0,3333.0,3474.0,3397.0,1.0
"Xmu_bdnf[0,5]",0.169,0.048,0.08,0.262,0.001,0.001,3076.0,2834.0,3092.0,2652.0,1.0
X_bdnf_modelled_missing[0],0.045,0.987,-1.81,1.849,0.013,0.018,5901.0,1461.0,5913.0,2571.0,1.0
X_bdnf_modelled_missing[1],0.111,0.335,-0.545,0.712,0.005,0.005,4951.0,1921.0,4961.0,3296.0,1.0
X_bdnf_modelled_missing[2],0.089,0.269,-0.428,0.574,0.004,0.004,5407.0,2034.0,5425.0,2591.0,1.0
X_bdnf_modelled_missing[3],0.182,0.385,-0.596,0.873,0.005,0.006,5889.0,2182.0,5936.0,2759.0,1.0
X_bdnf_modelled_missing[4],0.181,1.04,-1.851,2.14,0.015,0.017,4970.0,1978.0,4986.0,2732.0,1.0
X_bdnf_modelled_missing[5],0.04,0.348,-0.611,0.699,0.006,0.006,3637.0,1879.0,3653.0,2851.0,1.0
