,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_beta,0.002,0.01,-0.018,0.021,0.0,0.0,49127.359,30409.224,1.0
"beta_bdnf[0,0]",0.09,0.103,-0.117,0.293,0.001,0.001,20687.542,24981.098,1.0
"beta_bdnf[1,0]",0.183,0.122,-0.033,0.439,0.001,0.001,19366.712,21323.594,1.0
"beta_bdnf[2,0]",0.399,0.127,0.165,0.659,0.001,0.001,9421.66,13183.172,1.0
"beta_bdnf[3,0]",0.025,0.259,-0.507,0.535,0.002,0.002,13309.08,11409.969,1.0
"beta_bdnf[4,0]",-0.073,0.299,-0.692,0.499,0.002,0.002,17862.526,12735.851,1.0
"beta_bdnf[5,0]",0.379,0.311,-0.168,1.021,0.003,0.003,10527.869,9951.293,1.0
"beta_syn[0,0]",-0.214,0.206,-0.619,0.182,0.003,0.002,6783.804,14070.592,1.0
"beta_syn[1,0]",0.191,0.229,-0.238,0.653,0.003,0.002,6432.759,11401.683,1.0
"beta_nnf[0,0]",0.067,0.296,-0.542,0.667,0.003,0.002,12280.425,12738.597,1.0
"beta_nnf[1,0]",0.03,0.294,-0.588,0.624,0.003,0.002,11944.051,14199.141,1.0
"beta_nnf[2,0]",0.013,0.323,-0.677,0.661,0.003,0.002,9371.75,11968.198,1.0
"beta_nnf[3,0]",0.057,0.236,-0.423,0.527,0.002,0.001,16403.44,19716.598,1.0
"Xmu_bdnf[0,0]",0.0,0.01,-0.02,0.019,0.0,0.0,60688.86,29749.71,1.0
"Xmu_bdnf[0,1]",0.0,0.01,-0.018,0.02,0.0,0.0,50004.178,29804.725,1.0
"Xmu_bdnf[0,2]",0.008,0.01,-0.012,0.028,0.0,0.0,47930.285,31010.714,1.0
"Xmu_bdnf[0,3]",0.008,0.01,-0.012,0.027,0.0,0.0,52181.787,29305.028,1.0
"Xmu_bdnf[0,4]",0.007,0.009,-0.011,0.025,0.0,0.0,48615.124,30815.656,1.0
"Xmu_bdnf[0,5]",0.008,0.01,-0.011,0.027,0.0,0.0,55505.343,29165.628,1.0
X_bdnf_modelled_missing[0],0.289,0.998,-1.652,2.281,0.005,0.005,48622.917,29748.981,1.0
X_bdnf_modelled_missing[1],0.539,0.873,-1.152,2.3,0.004,0.004,48612.908,30433.736,1.0
X_bdnf_modelled_missing[2],0.016,0.383,-0.722,0.788,0.002,0.002,49253.842,28681.121,1.0
X_bdnf_modelled_missing[3],0.003,0.227,-0.433,0.457,0.001,0.001,51698.004,28633.122,1.0
X_bdnf_modelled_missing[4],0.092,0.393,-0.683,0.865,0.002,0.002,53124.879,29311.646,1.0
