Chemical;CASRN;KE;mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_mean;ess_sd;ess_bulk;ess_tail;r_hat;True_value
5-Fluorouracil;51-21-8;lp_bdnf;0.555;0.157;0.249;0.833;0.004;0.003;1552.0;1457.0;1609.0;1943.0;1.0;1
Acrylamide;79-06-1;lp_bdnf;0.575;0.154;0.276;0.849;0.004;0.003;1435.0;1362.0;1487.0;1865.0;1.0;1
Aldicarb;116-06-3;lp_bdnf;0.639;0.152;0.354;0.925;0.004;0.003;1185.0;1160.0;1213.0;1653.0;1.0;
Aminonicotinamide;329-89-5;lp_bdnf;0.572;0.153;0.281;0.85;0.004;0.003;1435.0;1362.0;1484.0;1874.0;1.0;
Bisphenol A;80-05-7;lp_bdnf;0.897;0.207;0.524;1.294;0.006;0.004;1215.0;1183.0;1251.0;1599.0;1.0;1
Caffeine;58-08-2;lp_bdnf;0.553;0.159;0.248;0.835;0.004;0.003;1587.0;1485.0;1649.0;1895.0;1.0;1
Carbamazepine;298-46-4;lp_bdnf;0.705;0.172;0.374;1.017;0.005;0.004;1156.0;1150.0;1171.0;1786.0;1.0;
Chlorpyrifos;2921-88-2;lp_bdnf;0.528;0.336;-0.104;1.163;0.007;0.005;2607.0;2496.0;2629.0;2960.0;1.0;0
Chlorpyrifos oxon;5598-15-2;lp_bdnf;0.499;0.335;-0.15;1.109;0.007;0.005;2582.0;2500.0;2600.0;2796.0;1.0;0
Colchicine;64-86-8;lp_bdnf;1.056;0.433;0.314;1.855;0.011;0.008;1446.0;1440.0;1490.0;2304.0;1.0;1
Deltamethrin;52918-63-5;lp_bdnf;0.774;0.241;0.335;1.246;0.006;0.005;1389.0;1379.0;1403.0;2071.0;1.0;1
Dexamethasone;50-02-2;lp_bdnf;0.635;0.157;0.335;0.924;0.005;0.003;1219.0;1193.0;1246.0;1793.0;1.0;0
Diazepam;439-14-5;lp_bdnf;0.699;0.168;0.372;1.003;0.005;0.004;1147.0;1138.0;1162.0;1766.0;1.0;
Dieldrin;60-57-1;lp_bdnf;0.793;0.186;0.458;1.162;0.006;0.004;1124.0;1124.0;1135.0;1848.0;1.0;1
Diethylstilbestrol;56-53-1;lp_bdnf;0.857;0.577;-0.296;1.867;0.011;0.009;2912.0;2048.0;3105.0;2473.0;1.0;0
Diphenylhydantoin;57-41-0;lp_bdnf;0.66;0.153;0.374;0.948;0.005;0.003;1144.0;1125.0;1169.0;1622.0;1.0;
